" 3D Run ID"	"Dist"	"L_ant2"	"W_ant2"	"Tables\0D Results\S1,1_2.45GHz"	"Tables\0D Results\S1,1_5.5GHz"	"Tables\0D Results\S1,1_6.5GHz"
"160"	"1.44363"	"17.322"	"1.5"	"-8.45893"	"-10.3064"	"-11.3646"
"161"	"1.41113"	"17.4304"	"1.5"	"-8.44625"	"-10.4819"	"-11.4814"
"162"	"1.48952"	"17.543"	"1.5"	"-8.54068"	"-9.83309"	"-11.5219"
"163"	"1.4032"	"17.4633"	"1.4903"	"-8.35981"	"-10.4734"	"-11.4874"
"164"	"1.45589"	"17.488"	"1.5"	"-8.48136"	"-10.0886"	"-11.4915"
"165"	"1.4252"	"17.3832"	"1.5"	"-8.45426"	"-10.3763"	"-11.435"
"166"	"1.40063"	"17.4449"	"1.5"	"-8.36095"	"-10.5176"	"-11.4794"
"167"	"1.51438"	"17.4672"	"1.5"	"-8.3918"	"-9.74476"	"-11.4759"
"168"	"1.48163"	"17.3165"	"1.5"	"-8.51867"	"-10.019"	"-11.3544"
"169"	"1.40238"	"17.4487"	"1.5"	"-8.36544"	"-10.47"	"-11.487"
"170"	"1.50455"	"17.4105"	"1.48909"	"-8.36965"	"-9.83445"	"-11.4383"
"171"	"1.41572"	"17.2427"	"1.49098"	"-8.38915"	"-10.5843"	"-11.188"
"172"	"1.38913"	"17.4733"	"1.5"	"-8.40822"	"-10.632"	"-11.5202"
"173"	"1.49446"	"17.3406"	"1.5"	"-8.35251"	"-9.9763"	"-11.3959"
"174"	"1.4833"	"17.3791"	"1.5"	"-8.52618"	"-9.9636"	"-11.4029"
"175"	"1.444"	"17.3544"	"1.5"	"-8.46463"	"-10.2515"	"-11.3954"
"176"	"1.46672"	"17.2662"	"1.5"	"-8.42448"	"-10.1137"	"-11.2042"
"177"	"1.51198"	"17.3433"	"1.5"	"-8.38227"	"-9.84097"	"-11.3854"
"178"	"1.41959"	"17.3821"	"1.5"	"-8.44814"	"-10.4512"	"-11.4345"
"179"	"1.50782"	"17.358"	"1.5"	"-8.37634"	"-9.85661"	"-11.4005"
"180"	"1.48808"	"17.4404"	"1.5"	"-8.53534"	"-9.91381"	"-11.4441"
"181"	"1.47468"	"17.4503"	"1.5"	"-8.51713"	"-9.99353"	"-11.4583"
"182"	"1.49982"	"17.3811"	"1.5"	"-8.36505"	"-9.89056"	"-11.4256"
"183"	"1.55848"	"17.4352"	"1.5"	"-8.44703"	"-9.54713"	"-11.415"
"184"	"1.50078"	"17.3595"	"1.5"	"-8.36509"	"-9.89925"	"-11.4082"
"185"	"1.48126"	"17.4318"	"1.5"	"-8.5266"	"-9.93958"	"-11.445"
"186"	"1.40284"	"17.2882"	"1.49856"	"-8.35046"	"-10.6317"	"-11.3422"
"187"	"1.48726"	"17.2741"	"1.5"	"-8.3102"	"-10.036"	"-11.2431"
